,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.167,1.167,6.0,1.0,6.0,1.5,1.167,1.167
2,99.0,2306.0,6703.0,7790.0,7526.0,7526.0,7246.0,7246.0
3,5.0,33.0,26.0,31.0,4.0,16.0,27.0,26.0
4,1.0,4.0,5.0,1.0,0.0,5.0,4.0,9.0
5,1.0,4.0,3.0,2.0,0.0,1.0,4.0,0.0
6,289.0,710.0,361.0,1719.0,0.0,208.0,482.0,222.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,41.0,15.0,22.0,0.0,15.0,26.0,29.0
9,3.0,6.0,12.0,13.0,3.0,4.0,6.0,7.0
10,289.0,2840.0,1805.0,1719.0,24.0,1039.0,1927.0,2000.0
11,80.0,97.0,85.0,58.0,0.0,75.0,85.0,88.0
12,2.0,2.0,7.0,16.0,24.0,6.0,4.0,4.0
13,15.0,97.0,81.0,91.0,12.0,73.0,79.0,76.0
14,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,40.0,45.0,69.0,74.0,100.0,56.0,48.0,42.0
17,60.0,24.0,23.0,16.0,0.0,19.0,37.0,31.0
18,0.0,30.0,8.0,10.0,0.0,25.0,15.0,27.0
