,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,13.3,13.3,13.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,12204.0,12204.0,19088.0,18347.0,29200.0,30188.0,30501.0,30468.0,30468.0,30468.0
3,35.0,35.0,35.0,37.0,37.0,37.0,36.0,31.0,37.0,37.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,49.0,48.0,53.0,38.0,58.0,58.0,56.0,55.0,56.0,63.0
9,7.0,8.0,8.0,10.0,7.0,10.0,12.0,5.0,7.0,3.0
10,3130.0,3150.0,3125.0,3268.0,3330.0,3316.0,3213.0,2790.0,3330.0,3321.0
11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
13,92.0,92.0,95.0,97.0,97.0,97.0,95.0,82.0,97.0,97.0
14,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
15,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
16,26.0,37.0,31.0,41.0,35.0,30.0,25.0,39.0,46.0,35.0
17,23.0,14.0,31.0,35.0,19.0,27.0,42.0,16.0,27.0,30.0
18,51.0,49.0,37.0,24.0,46.0,43.0,33.0,45.0,27.0,35.0
