,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,14.0,17.0,23.0,14.722,21.0
2,2619.0,11380.0,22975.0,59289.0,59289.0,61265.0
3,2.0,32.0,37.0,25.0,30.0,36.0
4,0.0,6.0,7.0,3.0,7.0,6.0
5,0.0,4.0,7.0,4.0,4.0,3.0
6,0.0,405.0,437.0,651.0,254.0,418.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,30.0,45.0,23.0,27.0,37.0
9,0.0,13.0,10.0,9.0,6.0,9.0
10,38.0,2432.0,3061.0,1954.0,1779.0,2508.0
11,0.0,84.0,95.0,92.0,77.0,81.0
12,3.0,9.0,3.0,3.0,8.0,7.0
13,15.0,84.0,97.0,89.0,79.0,95.0
14,0.0,1.0,2.0,3.0,3.0,1.0
15,0.0,0.0,0.0,0.0,1.0,0.0
16,0.0,59.0,54.0,36.0,57.0,44.0
17,50.0,22.0,24.0,24.0,27.0,31.0
18,50.0,19.0,22.0,40.0,17.0,25.0
