,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,7.667,7.667,7.667,18.0,14.222,11.0,18.0,12.833,15.0
2,30567.0,26878.0,39213.0,78542.0,81292.0,82066.0,42820.0,75100.0,59289.0
3,33.0,32.0,33.0,23.0,31.0,34.0,27.0,35.0,34.0
4,11.0,8.0,8.0,6.0,14.0,14.0,10.0,16.0,9.0
5,5.0,5.0,7.0,2.0,3.0,8.0,7.0,7.0,9.0
6,261.0,333.0,341.0,246.0,185.0,201.0,205.0,174.0,271.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,64.0,49.0,46.0,27.0,34.0,49.0,28.0,32.0,27.0
9,3.0,8.0,5.0,5.0,10.0,9.0,7.0,13.0,11.0
10,2872.0,2666.0,2725.0,1473.0,2593.0,2813.0,2047.0,2781.0,2437.0
11,97.0,94.0,94.0,70.0,97.0,94.0,89.0,97.0,85.0
12,1.0,2.0,2.0,7.0,2.0,2.0,4.0,1.0,5.0
13,97.0,94.0,97.0,68.0,91.0,100.0,79.0,97.0,89.0
14,4.0,6.0,7.0,3.0,4.0,4.0,3.0,4.0,10.0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,30.0,34.0,27.0,22.0,45.0,53.0,52.0,63.0,53.0
17,33.0,25.0,27.0,22.0,29.0,12.0,19.0,14.0,26.0
18,36.0,41.0,45.0,57.0,26.0,35.0,30.0,23.0,21.0
