,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.0,6.0,12.833,12.833,15.0
2,5847.0,5912.0,13175.0,20092.0,20092.0
3,31.0,29.0,19.0,33.0,28.0
4,0.0,1.0,0.0,1.0,0.0
5,1.0,4.0,2.0,3.0,1.0
6,0.0,2528.0,0.0,2226.0,0.0
7,0.0,0.0,0.0,0.0,1.0
8,20.0,30.0,16.0,30.0,24.0
9,12.0,10.0,5.0,12.0,9.0
10,2460.0,2528.0,1070.0,2226.0,2141.0
11,87.0,100.0,58.0,82.0,79.0
12,7.0,0.0,13.0,8.0,14.0
13,82.0,76.0,68.0,87.0,74.0
14,2.0,8.0,2.0,5.0,4.0
15,0.0,0.0,2.0,0.0,0.0
16,29.0,41.0,37.0,61.0,57.0
17,58.0,28.0,21.0,15.0,25.0
18,13.0,31.0,42.0,24.0,18.0
