,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,33.0,33.0,32.0,13.0,13.0,24.0,11.0
2,3162.0,15712.0,16255.0,16403.0,16469.0,48584.0,78888.0
3,6.0,19.0,14.0,28.0,34.0,31.0,18.0
4,0.0,2.0,3.0,3.0,8.0,10.0,6.0
5,0.0,0.0,1.0,2.0,2.0,3.0,1.0
6,0.0,194.0,116.0,530.0,268.0,155.0,174.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3.0,7.0,7.0,33.0,32.0,24.0,10.0
9,2.0,5.0,3.0,5.0,6.0,9.0,8.0
10,282.0,387.0,347.0,1591.0,2141.0,1550.0,1046.0
11,50.0,16.0,21.0,57.0,71.0,58.0,61.0
12,5.0,22.0,21.0,18.0,14.0,17.0,7.0
13,21.0,56.0,37.0,78.0,89.0,86.0,100.0
14,0.0,1.0,0.0,1.0,2.0,1.0,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,83.0,32.0,64.0,25.0,32.0,52.0,22.0
17,0.0,11.0,14.0,25.0,18.0,19.0,50.0
18,17.0,58.0,21.0,50.0,50.0,29.0,28.0
